,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
474233,634422,1988,28700844,Michael Jordan,CHI,"APR 08, 1988",CHI vs. NYK,W,43,13,24.0,0.542,0.0,0.0,0.0,14,18.0,0.778,3.0,3.0,6.0,3.0,8.0,1.0,3.0,4.0,40,,0
474234,634421,1988,28700879,Michael Jordan,CHI,"APR 14, 1988",CHI @ IND,W,38,12,28.0,0.429,0.0,2.0,0.0,11,12.0,0.917,2.0,4.0,6.0,3.0,3.0,1.0,2.0,3.0,35,,0
474235,634423,1988,28700834,Michael Jordan,CHI,"APR 06, 1988",CHI @ MIL,W,44,12,22.0,0.545,0.0,0.0,0.0,13,13.0,1.0,1.0,5.0,6.0,6.0,3.0,1.0,5.0,5.0,37,,0
474236,634428,1988,28700785,Michael Jordan,CHI,"MAR 29, 1988",CHI @ SEA,L,42,8,17.0,0.471,0.0,0.0,0.0,10,12.0,0.833,1.0,3.0,4.0,4.0,2.0,2.0,6.0,3.0,26,,0
474237,634429,1988,28700775,Michael Jordan,CHI,"MAR 26, 1988",CHI vs. IND,W,42,16,27.0,0.593,0.0,2.0,0.0,6,9.0,0.667,0.0,3.0,3.0,2.0,3.0,4.0,6.0,2.0,38,,0
474238,634431,1988,28700752,Michael Jordan,CHI,"MAR 23, 1988",CHI @ PHL,W,42,20,35.0,0.571,0.0,1.0,0.0,9,12.0,0.75,5.0,8.0,13.0,2.0,0.0,2.0,0.0,4.0,49,,0
474239,634467,1988,28700334,Michael Jordan,CHI,"JAN 07, 1988",CHI vs. DEN,W,42,11,22.0,0.5,0.0,0.0,0.0,6,11.0,0.545,3.0,6.0,9.0,5.0,6.0,4.0,3.0,2.0,28,,0
474240,634466,1988,28700348,Michael Jordan,CHI,"JAN 09, 1988",CHI vs. UTH,W,38,17,23.0,0.739,0.0,0.0,0.0,11,14.0,0.786,1.0,2.0,3.0,8.0,4.0,0.0,1.0,3.0,45,,0
474241,634465,1988,28700361,Michael Jordan,CHI,"JAN 12, 1988",CHI vs. BOS,L,43,19,35.0,0.543,0.0,1.0,0.0,4,5.0,0.8,2.0,2.0,4.0,6.0,3.0,1.0,0.0,0.0,42,,0
474242,634464,1988,28700373,Michael Jordan,CHI,"JAN 14, 1988",CHI @ CLE,L,45,12,24.0,0.5,0.0,1.0,0.0,4,6.0,0.667,3.0,1.0,4.0,7.0,1.0,2.0,4.0,3.0,28,,0
474243,634463,1988,28700390,Michael Jordan,CHI,"JAN 16, 1988",CHI vs. DET,W,38,12,26.0,0.462,0.0,0.0,0.0,12,13.0,0.923,4.0,6.0,10.0,10.0,4.0,4.0,3.0,3.0,36,,0
474244,634462,1988,28700400,Michael Jordan,CHI,"JAN 18, 1988",CHI vs. WAS,W,39,13,19.0,0.684,0.0,0.0,0.0,7,10.0,0.7,0.0,3.0,3.0,7.0,5.0,0.0,2.0,4.0,33,,0
